candidat_id,offre_id,titre,taux_match_stocke,pair_found,candidat_found,offre_found,n_candidat_skills,n_offre_skills,n_acquises,n_manquantes,n_essentielles_manquantes,taux_match_neo4j,competences_acquises,competences_manquantes,essentielles_manquantes,delta
PPBZV2505170028860,OFFRE_009950_d9e7d5781e7d,Commercial H/F,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_009812_efb216206984,Business Developer,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_010267_b69696d658f0,DIRECTEUR COMMERCIAL (F/H) - DOUALA,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_010012_d63db9b43788,DIRECTEUR COMMERCIAL (F/H) - DOUALA,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_010313_0f67cf45444b,SUPERVISEUR COMMERCIAL (VAN TEAM COORDINATOR),0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_010824_b354a45670d4,Chef d'Equipe,0.0,True,True,True,6,6,0,6,6,0.0,[],"['utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'faire rapport au chef d’équipe', 'diriger des opérations de distribution']","['utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'faire rapport au chef d’équipe', 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_010094_144477a0f33f,Commercial Sédentaire Transport,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_009710_a04b66506c85,Commercial Transport,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_008561_fc7a817a2893,"Commercial Transport - Yaoundé, Cameroun",0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
PPBZV2505170028860,OFFRE_009750_63ca8c84a766,Commercial Transport,0.0,True,True,True,6,6,0,6,6,0.0,[],"['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']","['gérer la distribution de matériel de promotion sur des lieux de destination', 'utiliser des systèmes de distribution par radio pour des taxis', 'gérer les canaux de distribution', 'assurer la conformité des activités de distribution', ""assurer la distribution d'électricité"", 'diriger des opérations de distribution']",0.0
