node_id,label,nom,degree,degree_centrality,pagerank,betweenness_approx_top_degree
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3181,Compétence,coordonner le transport,6787,0.09359442873888162,0.00671727843134733,1.0034730152244765e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:12221,Compétence,respecter le planning de travail dans les transports,6726,0.092753223471006,0.006642818440118823,2.1102206460002845e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13863,Compétence,gérer le transport de fonds,6718,0.09264290146866165,0.0066365771960406016,6.311292643463437e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4751,Compétence,véhicules de transport pour chevaux,6700,0.09239467696338688,0.006619871401453403,1.298761492852136e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:9726,Compétence,droit du transport aérien,6535,0.09011928566503483,0.006444927011637528,0.0001277253599259538
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11925,Compétence,fixer des objectifs de transport,5997,0.08270013100737779,0.0059301689138677735,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8460,Compétence,se mettre en relation avec des responsables de l’assurance qualité,5862,0.08083844721781701,0.00574303994220983,0.0001574189513680843
4:14eb8beb-5181-4c72-9add-2d88d47b846f:12831,Compétence,comptabilité,5822,0.0802868372060953,0.005712261325580416,0.0007517897066204606
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8840,Compétence,industrie de l'habillement,5508,0.07595669861407985,0.005464972455646718,1.8452308917045846e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6260,Compétence,industrie de l’aquaculture,5498,0.07581879611114942,0.005457555752993165,7.279734282407386e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:1940,Compétence,industrie de la musique et de la vidéo,5485,0.07563952285733987,0.005444058379641459,7.595803967240556e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:9426,Compétence,se tenir informé des tendances dans l’industrie du design,5461,0.07530855685030684,0.0054212479965017575,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11243,Compétence,industrie cosmétique,5431,0.07489484934151555,0.005388382782701589,3.606971194186594e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:1049,Compétence,hygiène et sécurité dans l’industrie textile,4913,0.06775149968971937,0.0048702674302248,9.34087285922727e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11689,Compétence,vendre des produits d’assurance,4873,0.06719988967799766,0.004774344952132081,1.2515838002402966e-06
